Country,Year,Population,GDP (USD),Total Emissions,CO2 Agriculture,CO2 Buildings,CO2 Fuel Exploitation,CO2 Industrial Combustion,CO2 Power Industry,CO2 Processes,CO2 Transport,CO2 Waste,CH4 Agriculture,CH4 Buildings,CH4 Fuel Exploitation,CH4 Industrial Combustion,CH4 Power Industry,CH4 Processes,CH4 Transport,CH4 Waste ,F-Gases Processes,N2O Agriculture,N2O Buildings,N2O Fuel Exploitation,N2O Industrial Combustion,N2O Power Industry,N2O Processes,N2O Transport,N2O Waste
Albania,1971,2187853,,8.20586179,0.1133,0.992794087,0.460861287,1.372642633,0.698307465,0.477432931,0.726045179,0.000528578,1.26413468,0.167172115,1.00586295,0.001396417,0.000200905,0.00512195,0.004599792,0.225495387,0,0.56718495,0.019058298,0.001509458,0.004089724,0.000975738,0.038846567,0.004102256,0.054198444
Albania,1972,2243126,,9.1409237,0.1133,1.095844683,0.541977819,1.757267843,0.743388483,0.491353894,0.779493776,0.00055534,1.240201991,0.16904211,1.275247046,0.001780962,0.000213591,0.005073641,0.004769084,0.233023324,0,0.55809728,0.019251865,0.001777622,0.004977573,0.00110037,0.042764421,0.004352947,0.056068035
Albania,1973,2296752,,8.633941456,0.1133,1.300580628,0.378138647,1.011886452,0.756573536,0.608576828,0.78709629,0.000582985,1.281175006,0.17251746,1.277893957,0.000936907,0.000217208,0.006147118,0.004328665,0.239507791,0,0.569388348,0.019603723,0.001185188,0.003529593,0.001156994,0.037400623,0.004247874,0.057969635
Albania,1974,2350124,,8.906908393,0.113614286,1.41049954,0.504288274,1.084738617,0.763701735,0.628837091,0.827380793,0.000611517,1.314327141,0.174185828,1.115076341,0.001002548,0.000219109,0.006272419,0.004663946,0.246079007,0,0.581537937,0.01982217,0.001680686,0.003751624,0.001199563,0.038583639,0.004499743,0.06033484
Albania,1975,2404831,,9.113706541,0.112514286,1.752260075,0.463541986,0.964995803,0.710118665,0.565862842,0.858410312,0.000640953,1.335267845,0.176150247,1.197910492,0.000885889,0.000203349,0.003583279,0.004907382,0.252793398,0,0.582833427,0.020245004,0.001488029,0.003602959,0.001199357,0.038175429,0.004689259,0.061426274
Albania,1976,2458526,,9.738074162,0.12775714,1.909010188,0.451133029,0.992971757,0.72209491,0.596453454,1.000929863,0.000671637,1.416335449,0.17626118,1.270062434,0.000969944,0.000206707,0.0038775,0.006102432,0.260948969,0,0.663481927,0.020406411,0.001444604,0.003732917,0.001235156,0.040715205,0.005583022,0.065688326
Albania,1977,2513546,,10.29317741,0.135142853,2.021223905,0.621366891,1.063416442,0.718047727,0.610480561,1.035115761,0.000703314,1.468141931,0.177970824,1.302914129,0.001086601,0.000205284,0.003885278,0.006351399,0.268945025,0,0.713118971,0.020672416,0.001962308,0.004029725,0.001285829,0.042157095,0.00578599,0.069167149
Albania,1978,2566266,,11.3132067,0.169557133,2.21038431,0.515204088,1.325084802,0.798514022,0.685171207,1.12135334,0.00073601,1.557304884,0.187948445,1.437750385,0.001381111,0.000227742,0.003148869,0.007258763,0.285877818,0,0.854850952,0.021269559,0.001569656,0.005103424,0.001548634,0.045667094,0.006382622,0.069911831
Albania,1979,2617832,,12.47560744,0.167985704,2.685335781,0.494311958,1.749462396,0.839955387,0.741646262,1.261791072,0.000769749,1.623115821,0.198121123,1.369030006,0.002157259,0.000239231,0.004242794,0.008072049,0.293318564,0,0.8750112,0.022406491,0.001492177,0.006728078,0.001700859,0.051405195,0.007152954,0.07015533
Albania,1980,2671997,,12.67935865,0.162957134,1.734201416,0.478640009,2.674498958,0.819627718,0.726726867,1.480608043,0.000804565,1.676008183,0.195476766,1.373094915,0.002672635,0.000233294,0.00371022,0.009211749,0.301358934,1.2095E-05,0.872485176,0.020425765,0.001522946,0.008131961,0.001691729,0.05510896,0.008314588,0.07183402
Albania,1981,2726056,,11.70469401,0.17049999,1.808861732,0.612081669,2.174893575,0.790404768,0.696333391,0.821470459,0.000841403,1.70631212,0.200460679,1.331780061,0.001997962,0.000224476,0.003536312,0.00673323,0.309377164,0.000124435,0.913262682,0.020692947,0.001532766,0.00720078,0.001740042,0.043639526,0.005133839,0.075558001
Albania,1982,2784278,,12.34812885,0.167828561,1.90424334,0.625664295,2.170552828,0.900094432,0.651688562,0.854648792,0.00087893,1.72103781,0.207167945,1.751038513,0.002082992,0.000255752,0.001993152,0.006224196,0.316732009,9.12938E-05,0.906754074,0.021041681,0.001542425,0.007624673,0.001954535,0.045574656,0.005144282,0.076269119
Albania,1983,2843960,,13.19872313,0.172857133,2.009984925,0.608531932,2.543561868,0.930102704,0.595521541,0.933565328,0.000917922,1.753962491,0.214736858,2.000388975,0.002441341,0.000264184,0.000608194,0.006362494,0.324485292,0.000106013,0.9322031,0.021431188,0.001520045,0.008649016,0.002040187,0.04882879,0.005533166,0.08011844
Albania,1984,2904429,1857337995,13.5122899,0.177571418,2.06129317,0.63681538,2.613953119,0.975591722,0.648143126,1.320088568,0.000959524,1.751346709,0.222680437,1.626802496,0.002458125,0.000277097,0.001468374,0.009875739,0.333459459,0.000113132,0.951147944,0.021713082,0.001614959,0.009055538,0.002141741,0.054579721,0.008127199,0.081012124
Albania,1985,2964762,1897050117,13.07727384,0.177571418,2.087604386,0.65583211,2.520675817,0.99726376,0.557609104,1.079201835,0.001004394,1.682649459,0.230995975,1.630075535,0.002313815,0.000283369,0.001682856,0.006466473,0.342029677,6.58974E-05,0.930001955,0.021949904,0.001677765,0.009103016,0.002164001,0.051832127,0.006248181,0.080971007
Albania,1986,3022635,2097326250,13.3029529,0.177571418,2.201568683,0.658189248,2.482964315,1.009783653,0.610975985,1.012119368,0.001053792,1.776005442,0.240474194,1.634907138,0.002458193,0.000287028,0.001644,0.005517056,0.353982591,0.000342522,0.955585697,0.022398426,0.001678119,0.008716127,0.002169027,0.051231287,0.005762841,0.085566747
Albania,1987,3083605,2080796250,13.59236496,0.160599991,2.20466026,0.534412053,2.729726604,1.009783653,0.609547771,1.045660466,0.0011068,1.942427429,0.240486233,1.610651778,0.002608228,0.000287028,0.001644,0.005991762,0.363951974,0.000331074,0.949865124,0.022405263,0.001231553,0.009500924,0.002169027,0.052488955,0.006084367,0.084742637
Albania,1988,3142336,2051236250,13.49809841,0.169085705,2.331159095,0.462803883,2.455860586,1.011263687,0.618600448,1.152382568,0.001159697,2.057428348,0.24595341,1.423402412,0.002399441,0.000287438,0.001644,0.007502199,0.377391687,0.000377152,0.995868756,0.022706934,0.001009672,0.008854457,0.002174464,0.05285958,0.006992706,0.088930084
Albania,1989,3227943,2253090000,13.38946596,0.192971418,1.534160517,0.451956829,3.104796583,1.000903445,0.665335044,0.957233768,0.001206997,2.124438379,0.23564546,1.462650342,0.002795921,0.000284566,0.0016875,0.004740261,0.390830315,0.000494855,1.074859026,0.021985722,0.000474217,0.009356897,0.002136408,0.052148704,0.005480446,0.090892338
Albania,1990,3286542,2028553750,11.56814995,0.165314274,2.092066777,0.411118902,2.143540139,0.525748646,0.598977672,0.709417542,0.001244576,2.068472939,0.273170255,0.987948942,0.003137162,0.000152155,0.001677,0.003511926,0.412966723,0.000946263,1.003070929,0.023605698,0.000340274,0.004853028,0.000540013,0.043462222,0.004100309,0.088765581
Albania,1991,3266790,1099559028,9.084328854,0.035042851,1.320941982,0.352836116,1.415583811,0.332870444,0.386374667,0.536698319,0.001136538,2.053256447,0.206343381,1.159341139,0.002064101,9.63346E-05,0.001132725,0.002672298,0.396552669,0.00149103,0.726523412,0.020545451,0.000334497,0.003194077,0.000341902,0.034440323,0.003123641,0.0913907
